Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
10-Feb-26,23752.6,23796.4,23691.5,23753.75,2366549899,92767.36
9-Feb-26,23600.85,23693.05,23535.4,23683.4,2727014602,86849.99
6-Feb-26,23366.5,23447,23211.4,23434,2281330748,84985.49
5-Feb-26,23509.75,23509.95,23337.35,23411.7,2511176041,84315.42
4-Feb-26,23414.1,23562.7,23284.45,23534.95,2891821213,99872.34
3-Feb-26,23870.2,23912.35,23355.5,23446.3,3833568757,134446.7
2-Feb-26,22595.45,22869.7,22408.5,22837,2701638490,94471.03
1-Feb-26,23067.5,23160.1,22337.3,22611.3,2763739018,94014.67
30-Jan-26,22994.3,23110.2,22916,23079.5,4157027368,119533.57
29-Jan-26,23107.5,23158.6,22922.6,23134.8,3420325244,118344.5
28-Jan-26,22899.6,23101.75,22884.5,23082.1,2978398505,105358.36
27-Jan-26,22752.7,22886.95,22562.95,22819.25,2998178455,111580.76
23-Jan-26,23072.3,23073.35,22679.7,22706.2,2468758298,85893.6
22-Jan-26,23013.45,23144.55,22888.5,23008.75,2492411717,87635.23
21-Jan-26,22864.5,22981.8,22586.8,22835.15,3504392687,95123.55
20-Jan-26,23365.65,23368.15,22888.65,22946.65,3041011603,87191.3
19-Jan-26,23443.3,23443.35,23324.85,23373.75,2722038438,83263.34
16-Jan-26,23502.85,23652.7,23455.5,23485.3,2936679815,95044.95
14-Jan-26,23422.1,23558.7,23399.9,23475.85,2735985365,84496.83
13-Jan-26,23603.45,23627.05,23336.05,23480.65,2794307318,77163.65
12-Jan-26,23459.4,23533.45,23199.5,23510.45,3129313561,77628.47
9-Jan-26,23646.75,23741.75,23407.7,23467.35,4459908928,83657.03
8-Jan-26,23996.2,24010.45,23657.35,23680.1,2749321338,79202.12
7-Jan-26,23995.85,24050.55,23942.25,24016.6,2265878328,79968.48
6-Jan-26,24042.9,24089.75,23941.4,24010.5,2680293138,83790.81
5-Jan-26,24123.1,24144.2,23999.15,24058.45,3139430638,78123.63
2-Jan-26,23935.95,24107.7,23921.45,24099,3709759369,76298.98
1-Jan-26,23914.65,23925.55,23835.55,23909.55,4549066214,61090.24
31-Dec-25,23710.45,23921.45,23709.55,23871.55,5274274084,72500.25
30-Dec-25,23675.3,23704.2,23599.9,23668.8,3358226298,117206.42
29-Dec-25,23804.4,23826.75,23660.3,23682.1,2424578413,71269.63
26-Dec-25,23841.95,23885.35,23752.55,23780.25,2226444927,58956.34
24-Dec-25,23903.1,23956.8,23836.55,23850.25,1966164763,58656.48
23-Dec-25,23906.1,23929.25,23825.15,23895.15,2603971855,62760.36
22-Dec-25,23760.95,23878.65,23743.25,23867.65,2515529008,68528.7
19-Dec-25,23562.65,23688.35,23548.95,23677.55,3169592583,88374.73
18-Dec-25,23469.8,23553.25,23363.5,23491.5,2344645813,60354.17
17-Dec-25,23597.6,23635.05,23449.5,23496.05,2064690210,59233.15
16-Dec-25,23676.8,23687.35,23542.55,23570.15,2091910465,60755.65
15-Dec-25,23654,23735.7,23591.3,23725.2,2428579771,56373.6
12-Dec-25,23620.35,23737.7,23613,23726.2,2602084873,66340.35
11-Dec-25,23421.9,23562.15,23344.25,23550.85,2437003320,59739.79
10-Dec-25,23540.15,23628.3,23386.8,23408.8,1992852190,65716.21
9-Dec-25,23447.05,23556.35,23259.7,23516.25,2622795803,83851.91
8-Dec-25,23821.75,23833.15,23460.7,23526.2,2450939904,76869.46
5-Dec-25,23720.7,23848.45,23672.35,23835.25,2307946947,69498.77
4-Dec-25,23718.1,23820.45,23680.25,23741.1,2641738712,68074.99
3-Dec-25,23813.45,23845.8,23641.75,23716.3,2804603221,68541.08
2-Dec-25,23870.6,23925.85,23782.75,23822.25,2795199358,74458.39
1-Dec-25,24034.95,24035,23871.75,23922.45,2116075701,61417.98
28-Nov-25,23968.8,23979.7,23907.75,23933.2,1920440245,59132.06
27-Nov-25,24011.9,24026.25,23879.6,23947.75,1997416096,65385.7
26-Nov-25,23654.75,23965.35,23654.75,23955.2,1899668415,72747.91
25-Nov-25,23700.55,23745.5,23635.8,23655.05,2053977530,64646.9
24-Nov-25,23827.25,23835.2,23642.55,23674.55,2959476022,130954.76
21-Nov-25,23917.5,23938.3,23776.3,23790.25,2298585392,65706.1
20-Nov-25,23984.4,24032.1,23918.8,23975.45,2955697821,72544.38
19-Nov-25,23832.55,23924.3,23766.6,23906.3,2593488320,68474.15
18-Nov-25,23970.45,23973.05,23800.95,23824.65,2112594964,73519.86
17-Nov-25,23889.55,23964.75,23863.55,23954.55,2631139705,70659.35
14-Nov-25,23751.25,23858.3,23717,23836.35,3964047813,86013.8
13-Nov-25,23867.65,23935.1,23793.65,23816,3037180329,79618.14
12-Nov-25,23796.95,23874.85,23766.2,23836.9,2814135378,88500.35
11-Nov-25,23634.65,23693.8,23476.3,23682.65,3609409888,83666.68
10-Nov-25,23545.35,23658.85,23542.1,23596.9,2082418577,74767.56
7-Nov-25,23441.05,23570.1,23291.2,23521.5,2876263184,96784.14
6-Nov-25,23683.35,23713.4,23501.05,23513.15,2624601878,92332.79
4-Nov-25,23811.3,23829.7,23660.2,23675.45,3128490717,84046.19
3-Nov-25,23711.95,23840.1,23695.15,23810.7,4238426359,77447.88
31-Oct-25,23847.6,23913.45,23698.05,23710.4,3213345729,93045.83
30-Oct-25,23933.65,23949.75,23804.45,23841.3,4777088281,85117.8
29-Oct-25,23851.55,23971.55,23821.3,23952.4,3035898490,92831.63
28-Oct-25,23844.75,23907.55,23717.05,23812.55,3399680297,91743.52
27-Oct-25,23742.7,23856.3,23723.4,23840.9,4714669733,74511.31
24-Oct-25,23796.2,23802.75,23622.8,23686.6,2386118868,66872.48
23-Oct-25,23899.75,23926.1,23727.6,23755.9,3380895846,93576.32
21-Oct-25,23791.9,23818.35,23723.4,23759.2,554547944,13122.04
20-Oct-25,23699.35,23766.55,23654.75,23716.1,2366392268,78266.71
17-Oct-25,23547,23679.05,23515.85,23598.05,2424903090,87424.32
16-Oct-25,23443.3,23592.85,23428.15,23563.8,2245759058,81622.54
15-Oct-25,23227.55,23400.95,23224.15,23377.35,2313925374,73882.14
14-Oct-25,23349.75,23374,23121.5,23184.05,2346426788,72389.47
13-Oct-25,23245.05,23315.65,23201.55,23294.8,2623096603,66727.85
10-Oct-25,23247.45,23374.25,23220.05,23337.55,2817528890,72731.68
9-Oct-25,23144.3,23251.65,23101.85,23241.75,2181993612,68120.62
8-Oct-25,23197.95,23265.2,23087.9,23109.35,2554774781,67947.97
7-Oct-25,23191.35,23275.1,23170.85,23209.5,2955320339,75433.04
6-Oct-25,23055.15,23177.25,23008.3,23169.65,2716653000,70900.53
3-Oct-25,22905.1,23037.5,22874.15,23027.7,2496262558,87205.82
1-Oct-25,22745.95,22943.2,22726.25,22928.3,2297302092,80373.9
30-Sep-25,22793.65,22829.2,22669.3,22734.1,2176230104,83496.37
29-Sep-25,22783.9,22865.1,22677,22739.1,2709087711,111450.73
26-Sep-25,22965.9,22994.15,22692.7,22713.15,3064275966,78065.88
25-Sep-25,23169.45,23235.55,23009.55,23022.4,2315120592,80403.11
24-Sep-25,23293.4,23317.2,23165.95,23178.25,2239198714,73191.6
23-Sep-25,23408.2,23434.3,23253.1,23325.25,2976679386,84838
22-Sep-25,23434.75,23523.55,23335.1,23381.45,2624970390,82516
19-Sep-25,23530.6,23541.3,23451.6,23486.65,4927091950,112953.61
18-Sep-25,23534.15,23538.9,23434.45,23518.9,2122913596,74945.21
17-Sep-25,23419.1,23464.4,23395.75,23445.2,2265541425,74653.76
16-Sep-25,23240.25,23386.65,23217.3,23369.3,2372002424,69438.26
15-Sep-25,23213.15,23249.2,23182.05,23215.85,3309950844,62955.58
12-Sep-25,23171.55,23210.4,23129.9,23190.25,2596050320,70672.84
11-Sep-25,23073.45,23128.55,23065.7,23102.65,2145968911,74196.51
10-Sep-25,23056.8,23121.75,23027.05,23074.15,2367614060,69349.81
9-Sep-25,22949.55,22964.05,22893.05,22949.1,2010928320,56901.71
8-Sep-25,22892.8,22974.85,22835.9,22878.65,2299628386,59253.2
5-Sep-25,22891.75,22916,22718.5,22829.15,3447324689,61225.59
4-Sep-25,23116.9,23116.9,22795,22819.65,3011809920,81710.49
3-Sep-25,22764,22877.35,22709.2,22864.65,3099428223,72038.77
2-Sep-25,22758.2,22858.2,22678.45,22724.4,2719306900,68531.75
1-Sep-25,22491.9,22720.55,22491.9,22713.55,2711533790,65828.19
29-Aug-25,22524.15,22624.7,22443.8,22462.95,2876456343,74820.72
28-Aug-25,22762.25,22762.25,22529.6,22541.65,2918941120,87203.22
26-Aug-25,22994.85,23013.05,22746.75,22768.65,4447916261,124368.44
25-Aug-25,23069.3,23106.9,23022.1,23052,2745502008,62192.41
22-Aug-25,23133.85,23144.55,22980.85,22991.3,3223528373,61311.1
21-Aug-25,23221.75,23230.95,23126.75,23137.15,2342917634,77424.18
20-Aug-25,23067.7,23171.15,23025.85,23143.15,2925327540,74477.32
19-Aug-25,22959.5,23077.1,22908.15,23066.6,2325042242,67565.6
18-Aug-25,22958.3,23040.85,22913.05,22931.5,2389678600,87578.2
